date,VNINDEX,VN30,HNXINDEX,UPCOM,VN30F1M
210720,1273.29,1411.02,301.11,83.69,1248.57
210721,1270.79,1406.54,300.8,84.3,1245.9
210722,1293.67,1428.48,305.97,85.57,1268.21
210723,1268.83,1401.53,301.77,84.37,1245.01
210726,1272.71,1403.96,302.88,83.87,1251.32
210727,1276.93,1409.85,306.0,84.77,1248.83
210728,1277.07,1407.5,306.25,84.96,1251.06
210729,1293.6,1427.55,310.97,86.14,1271.76
210730,1310.05,1447.23,314.85,86.93,1284.11
210802,1314.22,1448.21,314.93,87.35,1286.69
210803,1332.44,1469.87,319.13,87.59,1310.77
210804,1334.74,1472.2,320.02,87.52,1307.13
210805,1345.55,1486.46,325.46,87.93,1321.53
210806,1341.45,1476.79,325.46,88.28,1308.91
210809,1359.86,1497.83,330.68,89.38,1333.43
210810,1362.43,1494.41,335.08,90.53,1327.75
210811,1357.79,1487.91,334.44,92.01,1320.55
210812,1353.05,1477.06,334.33,91.98,1312.64
210813,1357.05,1484.25,336.96,92.17,1319.66
210816,1370.96,1500.77,343.53,94.04,1335.66
210817,1363.09,1494.12,343.11,94.2,1326.77
210818,1360.94,1489.54,344.82,94.48,1324.9
210819,1374.85,1505.01,346.07,94.71,1332.99
210820,1329.43,1450.45,338.06,92.7,1295.34
210823,1298.86,1412.0,334.84,91.46,1265.04
210824,1298.74,1418.26,331.79,91.13,1268.54
210825,1309.55,1428.51,336.01,91.53,1283.24
210826,1301.12,1412.45,336.85,91.54,1261.01
210827,1313.2,1418.57,338.79,92.13,1272.93
210830,1328.14,1431.05,341.3,93.22,1284.49
210831,1331.47,1428.66,342.81,93.77,1279.2
210901,1334.65,1426.94,343.42,94.01,1280.64
210906,1346.39,1441.54,345.63,94.66,1294.98
210907,1341.9,1444.1,346.48,94.7,1291.75
210908,1333.61,1433.71,347.28,94.36,1282.88
210909,1343.98,1447.28,350.44,94.82,1296.24
210910,1345.31,1448.33,350.05,95.41,1297.22
